Frame,Stick X,Stick Y,Button Mask,Buttons Pressed
731,0,0,0x0100,D-Right
732,0,0,0x0100,D-Right
733,0,0,0x0100,D-Right
734,0,0,0x0100,D-Right
735,0,0,0x0100,D-Right
736,0,0,0x0100,D-Right
737,0,0,0x0100,D-Right
738,0,0,0x0100,D-Right
739,0,0,0x0100,D-Right
740,0,0,0x0100,D-Right
741,0,0,0x0100,D-Right
742,0,0,0x0100,D-Right
743,0,0,0x0100,D-Right
744,0,0,0x0100,D-Right
745,0,0,0x0100,D-Right
746,0,0,0x0100,D-Right
747,0,0,0x0100,D-Right
748,0,0,0x0100,D-Right
749,0,0,0x0100,D-Right
750,0,0,0x0100,D-Right
751,0,0,0x0100,D-Right
752,0,0,0x0100,D-Right
753,0,0,0x0100,D-Right
754,0,0,0x0100,D-Right
755,0,0,0x0100,D-Right
756,0,0,0x0100,D-Right
757,0,0,0x0100,D-Right
758,0,0,0x0100,D-Right
759,0,0,0x0100,D-Right
760,0,0,0x0100,D-Right
761,0,0,0x0100,D-Right
762,0,0,0x0100,D-Right
763,0,0,0x0100,D-Right
764,0,0,0x0100,D-Right
765,0,0,0x0100,D-Right
766,0,0,0x0100,D-Right
767,0,0,0x0100,D-Right
768,0,0,0x0100,D-Right
769,0,0,0x0100,D-Right
770,0,0,0x0100,D-Right
771,0,0,0x0100,D-Right
772,0,0,0x0100,D-Right
773,0,0,0x0100,D-Right
774,0,0,0x0100,D-Right
775,0,0,0x0100,D-Right
776,0,0,0x0100,D-Right
777,0,0,0x0100,D-Right
778,0,0,0x0100,D-Right
779,0,0,0x0100,D-Right
780,0,0,0x0100,D-Right
781,0,0,0x0100,D-Right
782,0,0,0x0100,D-Right
783,0,0,0x0100,D-Right
784,0,0,0x0100,D-Right
785,0,0,0x0100,D-Right
786,0,0,0x0100,D-Right
787,0,0,0x0100,D-Right
788,0,0,0x0100,D-Right
789,0,0,0x0100,D-Right
790,0,0,0x0100,D-Right
791,0,0,0x0100,D-Right
792,0,0,0x0100,D-Right
793,0,0,0x0100,D-Right
794,0,0,0x0100,D-Right
795,0,0,0x0100,D-Right
796,0,0,0x0100,D-Right
797,0,0,0x0100,D-Right
